artwork_id,artist_ko,title_ko,image_file
CEZA_001,폴 세잔,사과 바구니,
CEZA_002,폴 세잔,생트 빅투아르 산,
CEZA_003,폴 세잔,카드놀이 하는 사람들,
DAVI_001,레오나르도 다 빈치,모나리자,
DAVI_002,레오나르도 다 빈치,최후의 만찬,
DAVI_004,레오나르도 다 빈치,암굴의 성모,
GOGH_001,빈센트 반 고흐,별이 빛나는 밤,
GOGH_002,빈센트 반 고흐,해바라기,
GOGH_005,빈센트 반 고흐,까마귀가 있는 밀밭,
KIMH_001,김홍도,씨름,
KIMH_003,김홍도,서당,
KIMH_010,신윤복,단오풍정,
KLIM_001,구스타프 클림트,키스,
KLIM_003,구스타프 클림트,아델레 블로흐-바우어의 초상 I,
KLIM_004,구스타프 클림트,생명의 나무,
MATI_001,앙리 마티스,춤,
MATI_002,앙리 마티스,붉은 작업실,
MATI_007,앙리 마티스,달팽이,
MONE_001,클로드 모네,"인상, 해돋이",
MONE_003,클로드 모네,수련,
MONE_005,클로드 모네,생라자르 역,
MUNC_001,에드바르 뭉크,절규,
MUNC_004,에드바르 뭉크,불안,
MUNC_010,에드바르 뭉크,태양,
PICA_001,파블로 피카소,게르니카,
PICA_002,파블로 피카소,아비뇽의 처녀들,
PICA_003,파블로 피카소,우는 여인,
RENO_001,피에르 오귀스트 르누아르,물랭 드 라 갈레트의 무도회,
RENO_002,피에르 오귀스트 르누아르,뱃놀이 일행의 점심,
RENO_005,피에르 오귀스트 르누아르,그네,
